Time,Sound Velocity,"Pressure, Strain Gauge [db]",Depth,Temperature ,Conductivity,Salinity,Potential Temperature ,Oxygen [mg/l],Oxygen [umol/Kg],Density
33,1487.38,1.709,1.693,10.8794,34.24894,30.3554,10.8792,4.95128,151.224,1023.1897
33.25,1487.36,1.7,1.685,10.8752,34.248087,30.358,10.875,5.19459,158.655,1023.1924
33.5,1487.36,1.686,1.671,10.8737,34.248087,30.3592,10.8735,5.41276,165.318,1023.1936
33.75,1487.36,1.672,1.657,10.8734,34.247296,30.3587,10.8733,5.60117,171.073,1023.1931
34,1487.36,1.662,1.646,10.8736,34.247052,30.3583,10.8734,5.70018,174.097,1023.1928
34.25,1487.36,1.654,1.639,10.8738,34.246199,30.3573,10.8736,5.74876,175.581,1023.1919
34.5,1487.36,1.655,1.64,10.8737,34.24559,30.3568,10.8735,5.76339,176.027,1023.1916
34.75,1487.35,1.663,1.648,10.8732,34.244737,30.3563,10.8731,5.74496,175.464,1023.1913
35,1487.35,1.679,1.664,10.8727,34.243702,30.3557,10.8725,5.71997,174.701,1023.191
35.25,1487.36,1.693,1.678,10.8724,34.247296,30.3595,10.8722,5.69381,173.902,1023.194
35.5,1487.36,1.697,1.682,10.8699,34.255032,30.3692,10.8698,5.65917,172.843,1023.202
35.75,1487.35,1.695,1.679,10.8642,34.258993,30.3779,10.864,5.61515,171.497,1023.2097
36,1487.33,1.686,1.671,10.8596,34.251866,30.3746,10.8594,5.58506,170.578,1023.2079
36.25,1487.34,1.677,1.662,10.8622,34.253145,30.3737,10.862,5.56137,169.855,1023.2068
36.5,1487.34,1.671,1.656,10.8645,34.253754,30.3724,10.8643,5.53769,169.132,1023.2054
36.75,1487.35,1.666,1.651,10.8652,34.255033,30.3731,10.865,5.50953,168.272,1023.2057
37,1487.35,1.662,1.647,10.8652,34.261125,30.3791,10.865,5.49801,167.919,1023.2104
37.25,1487.35,1.664,1.648,10.8619,34.266182,30.3868,10.8617,5.47186,167.119,1023.217
37.5,1487.34,1.67,1.655,10.8553,34.271179,30.3972,10.8551,5.4617,166.808,1023.2262
37.75,1487.32,1.677,1.662,10.849,34.269961,30.4012,10.8488,5.44177,166.198,1023.2304
38,1487.31,1.681,1.666,10.8456,34.26655,30.4007,10.8454,5.43705,166.054,1023.2306
38.25,1487.3,1.68,1.665,10.8468,34.258203,30.3915,10.8466,5.41377,165.344,1023.2232
38.5,1487.32,1.68,1.664,10.8534,34.259238,30.387,10.8532,5.40516,165.082,1023.2186
38.75,1487.35,1.681,1.666,10.8583,34.270996,30.3945,10.8581,5.39024,164.625,1023.2236
39,1487.34,1.686,1.67,10.8524,34.274348,30.4027,10.8522,5.38973,164.609,1023.231
39.25,1487.32,1.689,1.674,10.8443,34.275202,30.4103,10.8441,5.3817,164.362,1023.2383
39.5,1487.3,1.695,1.679,10.838,34.276056,30.4164,10.8378,5.3807,164.331,1023.2441
39.75,1487.29,1.699,1.684,10.8336,34.275203,30.4191,10.8334,5.37601,164.187,1023.247
40,1487.28,1.7,1.684,10.8317,34.274533,30.4201,10.8315,5.37831,164.257,1023.2481
40.25,1487.28,1.687,1.672,10.8314,34.273497,30.4193,10.8312,5.37937,164.29,1023.2475
40.5,1487.28,1.672,1.657,10.8318,34.271182,30.4167,10.8316,5.37016,164.009,1023.2453
40.75,1487.28,1.648,1.633,10.8341,34.269293,30.4129,10.8339,5.37181,164.06,1023.2419
41,1487.29,1.63,1.615,10.8386,34.268439,30.4084,10.8384,5.35592,163.575,1023.2375
41.25,1487.31,1.629,1.614,10.8443,34.267646,30.4029,10.8441,5.35784,163.634,1023.2323
41.5,1487.31,1.651,1.635,10.8483,34.258812,30.3908,10.8481,5.34277,163.176,1023.2223
41.75,1487.32,1.69,1.675,10.8551,34.253328,30.3798,10.8549,5.34435,163.225,1023.2127
42,1487.34,1.733,1.717,10.8635,34.251074,30.3706,10.8633,5.33756,163.02,1023.2043
42.25,1487.35,1.76,1.743,10.8698,34.244129,30.3585,10.8696,5.34502,163.249,1023.194
42.5,1487.36,1.756,1.739,10.8796,34.237854,30.3443,10.8794,5.34353,163.206,1023.1813
42.75,1487.39,1.722,1.706,10.8908,34.239314,30.3365,10.8906,5.34971,163.396,1023.1731
43,1487.42,1.672,1.656,10.8978,34.247658,30.3389,10.8976,5.35443,163.54,1023.1736
43.25,1487.43,1.623,1.608,10.8987,34.252714,30.3431,10.8985,5.36337,163.812,1023.1765
43.5,1487.43,1.597,1.583,10.897,34.255456,30.3472,10.8968,5.36902,163.984,1023.1799
43.75,1487.42,1.603,1.588,10.8951,34.256918,30.3502,10.8949,5.38035,164.33,1023.1826
44,1487.41,1.635,1.619,10.8879,34.262767,30.3619,10.8877,5.38934,164.603,1023.193
44.25,1487.39,1.683,1.667,10.8732,34.27264,30.3838,10.8731,5.3986,164.882,1023.2127
44.5,1487.35,1.727,1.711,10.8574,34.274957,30.3991,10.8572,5.40772,165.159,1023.2276
44.75,1487.32,1.758,1.742,10.845,34.272887,30.4074,10.8448,5.40448,165.058,1023.2362
45,1487.3,1.76,1.743,10.8401,34.271425,30.41,10.8399,5.41428,165.357,1023.2391
45.25,1487.29,1.73,1.714,10.8373,34.269536,30.4105,10.8371,5.4081,165.168,1023.2398
45.5,1487.3,1.683,1.667,10.8377,34.272887,30.4135,10.8375,5.40449,165.058,1023.2419
45.75,1487.3,1.641,1.626,10.8412,34.271851,30.4096,10.841,5.3893,164.594,1023.2381
46,1487.31,1.62,1.605,10.8445,34.27118,30.4062,10.8443,5.38634,164.505,1023.2348
46.25,1487.31,1.621,1.606,10.8457,34.26594,30.4,10.8455,5.37718,164.226,1023.2298
46.5,1487.31,1.631,1.616,10.845,34.265758,30.4005,10.8448,5.36585,163.88,1023.2303
46.75,1487.3,1.641,1.625,10.8436,34.266367,30.4022,10.8434,5.36454,163.839,1023.2319
47,1487.3,1.648,1.633,10.8431,34.265758,30.402,10.8429,5.34816,163.339,1023.2318
47.25,1487.3,1.66,1.645,10.8434,34.266794,30.4028,10.8432,5.34281,163.175,1023.2325
47.5,1487.3,1.677,1.662,10.8437,34.266794,30.4025,10.8435,5.34079,163.114,1023.2323
47.75,1487.3,1.698,1.682,10.8439,34.264296,30.3999,10.8437,5.34626,163.281,1023.2303
48,1487.3,1.711,1.695,10.846,34.260274,30.3942,10.8458,5.33975,163.083,1023.2256
48.25,1487.32,1.712,1.697,10.8506,34.260883,30.3909,10.8504,5.34832,163.345,1023.2223
48.5,1487.33,1.698,1.682,10.8545,34.261553,30.3884,10.8543,5.3493,163.376,1023.2196
48.75,1487.34,1.669,1.654,10.8571,34.263868,30.3885,10.857,5.34907,163.369,1023.2191
49,1487.35,1.633,1.617,10.8588,34.269716,30.3928,10.8586,5.35585,163.575,1023.222
49.25,1487.35,1.606,1.591,10.8595,34.271422,30.394,10.8593,5.34613,163.278,1023.2227
49.5,1487.35,1.612,1.597,10.8599,34.271178,30.3934,10.8597,5.34829,163.344,1023.2222
49.75,1487.35,1.652,1.637,10.86,34.269107,30.3913,10.8598,5.35098,163.427,1023.2207
50,1487.34,1.703,1.688,10.8594,34.265512,30.3882,10.8592,5.35928,163.681,1023.2187
50.25,1487.34,1.741,1.725,10.8578,34.262588,30.3866,10.8576,5.35554,163.567,1023.2178
50.5,1487.33,1.747,1.731,10.8559,34.262589,30.3883,10.8557,5.3516,163.446,1023.2195
50.75,1487.33,1.722,1.706,10.8552,34.263624,30.3898,10.855,5.35004,163.398,1023.2207
